idi,name,birth_year,birth_month,birth_day,gender,registration_id,athletic_score,leadership_score,talent_score,gpa,class_assigned,selected_activity,grade_level,talent,olympiad_scores,subject_specialization,fitness_score,sports_category,subject,mentor_grade,mentor_class,judge
1278,Paul Moore,2007,8,20,Male,11278,4.6,4.6,1.5,7.3,11C,Scholar,11,,76-90-68,mathematics,,,,,,
1279,Lisa Jones,2007,10,7,Female,11279,0.7,9.3,1.8,6.5,11B,Talent,11,singing,,,,,,,,
1280,Matthew Davis,2008,4,27,Male,11280,7.8,7.6,8.3,7.3,10C,Talent,10,dance,,,,,,,,
1281,Elizabeth Wilson,2008,3,22,Female,11281,5.0,4.6,6.8,9.6,10C,Talent,10,dance,,,,,,,,
1282,Joseph Martin,2010,9,11,Male,11282,1.0,6.5,4.6,6.4,8B,Scholar,8,,92-55-78,science,,,,,,
1283,James Brown,2012,12,11,Male,11283,5.4,4.4,9.3,9.3,6B,Sports,6,,,,54.7,cricket,,,,
1284,Robert Martinez,2011,4,22,Male,11284,4.7,0.6,5.8,8.3,7B,Talent,7,drama,,,,,,,,
1285,Robert Anderson,2006,2,15,Male,11285,9.1,5.3,7.6,6.8,12C,Sports,12,,,,91.3,chess,,,,
1286,Anna Hernandez,2007,9,4,Female,11286,0.2,2.6,9.4,7.1,11B,Talent,11,singing,,,,,,,,
1287,Matthew Anderson,2006,7,14,Male,11287,8.6,4.1,4.3,6.2,12A,Scholar,12,,55-62-94,mathematics,,,,,,
1288,Sandra Gonzalez,2012,6,5,Female,11288,7.0,8.1,4.5,9.4,6A,Scholar,6,,55-76-76,mathematics,,,,,,
1289,Elizabeth Hernandez,2006,4,14,Female,11289,1.8,2.2,4.9,6.0,12B,Talent,12,drama,,,,,,,,
1290,Charles Jones,2010,6,25,Male,11290,1.1,2.6,1.6,9.5,8B,Talent,8,drama,,,,,,,,
1291,Charles Johnson,2012,4,9,Male,11291,2.9,4.5,7.6,7.4,6B,Sports,6,,,,72.8,cricket,,,,
1292,Sarah Rodriguez,2006,6,8,Female,11292,6.1,6.4,6.3,7.7,12C,Talent,12,singing,,,,,,,,
1293,Susan Lopez,2010,1,18,Female,11293,0.6,6.5,6.8,6.9,8C,Scholar,8,,90-95-94,science,,,,,,
1294,Elizabeth Jones,2007,6,20,Female,11294,6.1,4.4,2.4,8.7,11A,Sports,11,,,,54.4,cricket,,,,
1295,Patricia Brown,2011,6,10,Female,11295,2.1,4.5,6.8,7.3,7C,Talent,7,dance,,,,,,,,
1296,Joseph Taylor,2011,2,18,Male,11296,1.2,7.3,2.7,9.1,7C,Talent,7,dance,,,,,,,,
1297,Michael Thomas,2009,11,28,Male,11297,6.8,5.8,1.1,9.7,9C,Sports,9,,,,77.0,chess,,,,
1298,Michael Jackson,2011,4,17,Male,11298,5.1,3.2,6.9,9.5,7B,Talent,7,dance,,,,,,,,
1299,Joseph Taylor,2007,11,1,Male,11299,5.9,2.4,8.5,8.9,11C,Talent,11,singing,,,,,,,,
1300,Robert Lopez,2009,4,11,Male,11300,2.9,4.6,1.5,8.5,9A,Sports,9,,,,64.3,cricket,,,,
1301,Donald Wilson,2011,3,10,Male,11301,6.6,3.8,1.5,7.2,7A,Scholar,7,,71-71-88,science,,,,,,
1302,Anthony Garcia,2009,2,25,Male,11302,1.4,4.4,0.8,6.8,9A,Talent,9,drama,,,,,,,,
1303,Joseph Thomas,2008,2,5,Male,11303,1.4,8.6,1.0,6.5,10A,Sports,10,,,,78.6,chess,,,,
1304,Mary Gonzalez,2007,4,23,Female,11304,7.7,6.3,1.4,8.5,11B,Talent,11,singing,,,,,,,,
1305,Elizabeth Taylor,2008,1,17,Female,11305,2.2,2.5,7.7,7.9,10C,Sports,10,,,,63.2,cricket,,,,
1306,Charles Lopez,2007,6,24,Male,11306,1.1,7.8,2.1,9.7,11B,Scholar,11,,76-62-56,science,,,,,,
1307,Jessica Taylor,2009,3,8,Female,11307,4.7,1.1,4.8,8.5,9C,Sports,9,,,,59.8,cricket,,,,
1308,Daniel Davis,2012,9,18,Male,11308,5.7,2.9,1.9,7.7,6A,Scholar,6,,84-59-63,science,,,,,,
1309,Samantha Johnson,2007,5,22,Female,11309,2.1,3.7,0.5,9.4,11B,Sports,11,,,,72.7,cricket,,,,
1310,Michelle Moore,2006,12,10,Female,11310,1.4,4.2,7.6,9.2,12C,Talent,12,drama,,,,,,,,
1311,Anthony Taylor,2012,10,28,Male,11311,4.6,4.7,0.8,8.6,6C,Sports,6,,,,56.6,chess,,,,
1312,Linda Taylor,2007,12,2,Female,11312,7.0,4.2,5.0,8.9,11B,Scholar,11,,88-69-80,science,,,,,,
1313,Michael Jones,2012,8,12,Male,11313,0.7,2.4,7.5,8.2,6B,Scholar,6,,76-69-57,science,,,,,,
1314,Donald Johnson,2007,3,4,Male,11314,1.1,6.0,1.5,7.9,11A,Sports,11,,,,80.3,cricket,,,,
1315,Donald Jones,2011,4,11,Male,11315,6.6,7.9,7.5,8.5,7B,Scholar,7,,87-99-77,mathematics,,,,,,
1316,John Moore,2008,5,8,Male,11316,0.8,4.1,5.7,7.7,10A,Talent,10,singing,,,,,,,,
1317,Anna Taylor,2006,10,14,Female,11317,2.4,6.7,5.4,9.7,12C,Scholar,12,,73-97-97,mathematics,,,,,,
1318,Kenneth Davis,2012,7,7,Male,11318,3.8,2.5,5.9,8.8,6B,Talent,6,singing,,,,,,,,
1319,Robert Jones,2007,11,18,Male,11319,5.6,3.4,2.7,6.0,11C,Sports,11,,,,80.3,chess,,,,
1320,Sandra Moore,2008,7,20,Female,11320,3.6,8.5,8.0,8.0,10C,Scholar,10,,79-58-61,science,,,,,,
1321,James Anderson,2011,10,8,Male,11321,0.1,4.8,3.5,6.0,7A,Sports,7,,,,69.2,cricket,,,,
1322,William Williams,2011,7,2,Male,11322,9.0,5.4,1.6,7.2,7B,Talent,7,drama,,,,,,,,
1323,Anna Brown,2007,3,7,Female,11323,0.1,8.7,9.4,8.3,11C,Sports,11,,,,86.2,chess,,,,
1324,David Gonzalez,2011,7,4,Male,11324,6.5,8.0,0.1,9.6,7C,Sports,7,,,,64.5,cricket,,,,
1325,Emma Johnson,2006,3,2,Female,11325,5.7,6.2,1.2,6.7,12B,Scholar,12,,69-82-83,science,,,,,,
1326,Richard Lopez,2012,12,23,Male,11326,6.5,8.3,1.7,6.8,6B,Scholar,6,,93-64-72,science,,,,,,
1327,Maria Gonzalez,2012,8,20,Female,11327,5.2,3.4,3.8,6.1,6B,Talent,6,singing,,,,,,,,
1328,Steven Jones,2006,12,7,Male,11328,2.0,6.3,6.5,7.6,12C,Talent,12,drama,,,,,,,,
1329,Mary Davis,2012,5,15,Female,11329,8.1,5.1,6.2,7.0,6C,Sports,6,,,,74.0,cricket,,,,
1330,David Williams,2010,5,3,Male,11330,2.1,3.1,9.4,9.9,8C,Sports,8,,,,70.6,chess,,,,
1331,Daniel Brown,2009,7,24,Male,11331,4.9,2.3,1.7,8.8,9A,Sports,9,,,,90.4,chess,,,,
1332,Robert Taylor,2007,7,2,Male,11332,5.4,8.6,0.3,8.3,11A,Sports,11,,,,63.6,cricket,,,,
1333,William Wilson,2006,5,1,Male,11333,6.8,0.2,8.2,6.5,12A,Scholar,12,,75-63-85,mathematics,,,,,,
1334,John Smith,2011,4,28,Male,11334,2.9,4.0,4.5,10.0,7C,Sports,7,,,,69.4,chess,,,,
1335,Joseph Davis,2007,5,3,Male,11335,2.2,5.9,5.7,6.8,11C,Sports,11,,,,61.6,cricket,,,,
1336,Sarah Martinez,2011,3,26,Female,11336,6.1,6.9,4.5,6.0,7B,Scholar,7,,99-68-70,science,,,,,,
1337,Jennifer Jackson,2011,5,10,Female,11337,4.9,4.1,6.3,6.2,7A,Sports,7,,,,53.7,cricket,,,,
1338,Matthew Davis,2012,5,9,Male,11338,2.2,3.2,0.1,9.1,6B,Sports,6,,,,88.6,cricket,,,,
1339,William Garcia,2009,8,17,Male,11339,3.4,8.1,3.3,9.3,9C,Talent,9,drama,,,,,,,,
1340,Helen Moore,2006,9,22,Female,11340,3.9,4.8,2.3,6.9,12B,Scholar,12,,58-67-96,mathematics,,,,,,
1341,Robert Wilson,2011,1,18,Male,11341,7.4,3.3,5.3,7.6,7C,Sports,7,,,,69.9,cricket,,,,
1342,Richard Hernandez,2009,1,1,Male,11342,5.6,4.7,3.3,9.2,9A,Talent,9,dance,,,,,,,,
1343,Anthony Johnson,2009,11,8,Male,11343,5.9,3.6,7.5,7.6,9A,Talent,9,drama,,,,,,,,
1344,Anna Martin,2006,12,28,Female,11344,7.7,9.4,5.0,8.9,12A,Sports,12,,,,86.9,cricket,,,,
1345,John Lopez,2011,9,25,Male,11345,8.5,1.9,7.7,9.6,7C,Talent,7,singing,,,,,,,,
1346,Joseph Gonzalez,2006,7,23,Male,11346,4.8,6.0,3.7,9.6,12B,Sports,12,,,,66.8,cricket,,,,
1347,Joseph Williams,2007,8,25,Male,11347,0.6,2.6,1.9,8.1,11C,Sports,11,,,,72.9,chess,,,,
1348,John Thomas,2010,3,6,Male,11348,5.6,4.0,6.5,7.8,8C,Scholar,8,,70-67-56,mathematics,,,,,,
1349,Anna Davis,2006,4,17,Female,11349,4.7,4.2,4.5,6.1,12B,Scholar,12,,82-73-84,science,,,,,,
1350,John Johnson,2009,11,14,Male,11350,8.4,4.6,6.6,8.1,9A,Talent,9,dance,,,,,,,,
1351,Maria Martinez,2010,12,2,Female,11351,0.5,1.9,6.4,6.4,8C,Talent,8,drama,,,,,,,,
1352,Andrew Martin,2007,7,2,Male,11352,6.5,1.2,2.9,6.1,11A,Talent,11,singing,,,,,,,,
1353,Christine Lopez,2012,9,5,Female,11353,4.0,8.1,7.2,10.0,6B,Scholar,6,,89-70-50,mathematics,,,,,,
1354,John Moore,2009,1,21,Male,11354,5.4,8.1,8.1,9.1,9B,Scholar,9,,93-73-64,mathematics,,,,,,
1355,Emma Johnson,2011,9,2,Female,11355,2.3,7.5,4.3,6.1,7C,Scholar,7,,79-100-55,mathematics,,,,,,
1356,Michael Jackson,2010,1,19,Male,11356,1.0,2.5,2.3,9.8,8B,Sports,8,,,,89.5,cricket,,,,
1357,Mark Wilson,2009,1,24,Male,11357,0.2,8.1,0.8,6.3,9A,Scholar,9,,56-80-74,mathematics,,,,,,
1358,Anthony Hernandez,2009,6,20,Male,11358,1.6,3.3,4.8,9.4,9A,Sports,9,,,,67.4,cricket,,,,
1359,John Gonzalez,2010,2,17,Male,11359,3.4,4.5,0.4,8.8,8A,Sports,8,,,,66.8,cricket,,,,
1360,Jennifer Gonzalez,2012,5,28,Female,11360,6.3,5.1,0.5,7.2,6A,Talent,6,singing,,,,,,,,
1361,John Smith,2009,12,7,Male,11361,7.3,2.4,3.3,9.8,9B,Talent,9,singing,,,,,,,,
1362,Jessica Davis,2008,10,22,Female,11362,9.2,9.4,9.4,8.9,10A,Sports,10,,,,76.5,chess,,,,
1363,John Lopez,2010,6,8,Male,11363,2.0,1.6,5.5,7.1,8C,Scholar,8,,87-89-82,mathematics,,,,,,
1364,David Lopez,2006,11,14,Male,11364,8.3,6.2,2.0,9.1,12C,Sports,12,,,,84.7,chess,,,,
1365,David Wilson,2010,12,13,Male,11365,5.0,2.3,1.2,7.7,8C,Scholar,8,,91-50-94,science,,,,,,
1366,Michael Martinez,2010,4,18,Male,11366,5.6,7.5,5.1,9.7,8B,Sports,8,,,,53.6,cricket,,,,
1367,Steven Jones,2008,6,14,Male,11367,7.1,7.9,9.4,6.9,10A,Talent,10,drama,,,,,,,,
1368,Patricia Miller,2007,12,24,Female,11368,0.8,6.1,6.0,9.8,11C,Talent,11,dance,,,,,,,,
1369,Helen Hernandez,2007,1,4,Female,11369,6.5,3.9,9.0,9.2,11A,Talent,11,dance,,,,,,,,
1370,Samantha Miller,2009,3,8,Female,11370,6.3,3.1,7.2,8.0,9A,Scholar,9,,94-61-82,mathematics,,,,,,
1371,Charles Miller,2010,9,20,Male,11371,4.1,3.9,5.2,7.9,8B,Talent,8,dance,,,,,,,,
1372,William Lopez,2009,6,5,Male,11372,9.3,7.2,5.7,7.1,9B,Talent,9,drama,,,,,,,,
1373,Samantha Garcia,2006,4,7,Female,11373,3.6,9.2,7.7,9.2,12B,Sports,12,,,,70.4,chess,,,,
1374,George Martin,2008,5,27,Male,11374,6.3,1.1,4.8,8.0,10A,Sports,10,,,,56.0,cricket,,,,
1375,Mary Rodriguez,2008,11,7,Female,11375,0.5,5.1,0.4,9.8,10C,Sports,10,,,,75.6,cricket,,,,
1376,Samantha Brown,2006,1,26,Female,11376,2.2,6.5,2.9,8.4,12C,Talent,12,dance,,,,,,,,
1377,Daniel Gonzalez,2012,12,28,Male,11377,1.9,1.5,4.2,8.0,6C,Sports,6,,,,55.7,cricket,,,,
1378,Steven Lopez,2011,7,23,Male,11378,0.5,4.5,5.1,8.0,7B,Talent,7,dance,,,,,,,,
1379,Mark Rodriguez,2010,3,15,Male,11379,5.9,2.9,7.9,9.8,8B,Sports,8,,,,57.4,cricket,,,,
1380,Jennifer Hernandez,2012,2,20,Female,11380,4.9,6.5,8.0,9.5,6A,Scholar,6,,81-77-62,science,,,,,,
1381,Andrew Hernandez,2009,8,18,Male,11381,0.6,1.3,7.2,9.5,9B,Talent,9,singing,,,,,,,,
1382,Samantha Miller,2006,1,13,Female,11382,8.5,3.5,8.3,7.6,12B,Scholar,12,,66-53-79,science,,,,,,
1383,Jennifer Gonzalez,2008,4,3,Female,11383,2.9,9.0,2.2,8.6,10C,Scholar,10,,99-56-88,mathematics,,,,,,
1384,Linda Hernandez,2009,4,2,Female,11384,2.6,8.6,8.3,7.0,9B,Scholar,9,,86-61-86,mathematics,,,,,,
1385,Anna Moore,2011,7,28,Female,11385,3.3,6.6,0.5,6.7,7C,Sports,7,,,,90.4,chess,,,,
1386,Mary Wilson,2006,8,26,Female,11386,0.7,0.1,7.6,8.4,12B,Scholar,12,,89-72-71,mathematics,,,,,,
1387,Michelle Garcia,2006,7,15,Female,11387,3.2,0.6,2.6,7.3,12A,Talent,12,drama,,,,,,,,
1388,Patricia Garcia,2012,7,6,Female,11388,4.9,3.7,4.8,7.7,6C,Scholar,6,,58-51-51,science,,,,,,
1389,John Wilson,2009,10,27,Male,11389,6.6,1.5,0.0,8.9,9A,Talent,9,dance,,,,,,,,
1390,David Miller,2008,9,15,Male,11390,6.1,2.9,7.7,7.0,10B,Talent,10,drama,,,,,,,,
1391,Joseph Garcia,2011,2,13,Male,11391,6.6,8.9,7.6,7.9,7A,Scholar,7,,69-97-53,science,,,,,,
1392,Lisa Wilson,2012,10,26,Female,11392,1.5,8.6,0.5,6.4,6C,Sports,6,,,,78.7,cricket,,,,
1393,Lisa Hernandez,2009,2,16,Female,11393,3.5,6.0,5.1,7.9,9C,Talent,9,singing,,,,,,,,
1394,Laura Davis,2008,5,6,Female,11394,5.8,8.0,6.7,6.4,10B,Scholar,10,,55-97-64,science,,,,,,
1395,Thomas Anderson,2009,8,6,Male,11395,6.2,2.0,7.7,7.0,9B,Sports,9,,,,88.1,chess,,,,
1396,Patricia Taylor,2007,10,15,Female,11396,5.1,1.8,2.9,9.9,11A,Scholar,11,,94-87-61,mathematics,,,,,,
1397,Jessica Taylor,2012,2,12,Female,11397,8.4,4.1,1.3,7.6,6C,Sports,6,,,,74.6,chess,,,,
1398,Karen Johnson,2006,10,25,Female,11398,4.5,1.5,6.4,9.3,12B,Talent,12,dance,,,,,,,,
1399,Joseph Smith,2011,1,9,Male,11399,9.0,9.3,6.3,8.6,7C,Talent,7,drama,,,,,,,,
1400,Michael Garcia,2008,5,23,Male,11400,4.4,3.9,5.2,6.7,10A,Talent,10,drama,,,,,,,,
1401,David Martin,2010,11,10,Male,11401,6.3,3.3,6.7,7.6,8C,Scholar,8,,92-69-93,science,,,,,,
1402,Helen Wilson,2012,10,2,Female,11402,9.3,0.7,7.1,6.8,6C,Sports,6,,,,79.5,chess,,,,
1403,Sarah Miller,2012,8,5,Female,11403,7.0,9.2,4.6,6.1,6B,Scholar,6,,87-63-84,science,,,,,,
1404,Linda Martin,2008,8,8,Female,11404,4.3,2.7,0.7,8.2,10B,Scholar,10,,58-57-74,mathematics,,,,,,
1405,David Anderson,2012,11,2,Male,11405,0.9,0.4,1.7,8.1,6B,Scholar,6,,100-95-56,science,,,,,,
1406,George Jackson,2012,4,10,Male,11406,2.0,1.2,3.4,8.4,6B,Scholar,6,,86-84-89,mathematics,,,,,,
1407,Patricia Johnson,2012,9,1,Female,11407,4.1,7.5,7.9,6.8,6C,Scholar,6,,51-93-82,mathematics,,,,,,
1408,Kenneth Martin,2006,3,16,Male,11408,5.3,1.9,0.6,6.6,12A,Talent,12,drama,,,,,,,,
1409,George Jackson,2007,6,7,Male,11409,7.3,9.4,9.2,7.5,11A,Talent,11,singing,,,,,,,,
1410,Sandra Garcia,2006,2,20,Female,11410,7.1,5.5,3.9,9.9,12B,Talent,12,drama,,,,,,,,
1411,Michelle Miller,2007,7,2,Female,11411,0.7,7.5,2.9,7.3,11A,Sports,11,,,,88.8,chess,,,,
1412,Mark Jackson,2006,6,19,Male,11412,0.4,6.2,2.5,8.0,12B,Sports,12,,,,68.7,cricket,,,,
1413,Mary Smith,2012,9,1,Female,11413,5.4,5.8,0.5,8.3,6B,Sports,6,,,,60.9,chess,,,,
1414,Joseph Wilson,2006,12,7,Male,11414,4.6,5.0,6.7,7.6,12A,Talent,12,singing,,,,,,,,
1415,George Thomas,2006,6,7,Male,11415,4.4,3.9,5.5,7.3,12B,Sports,12,,,,64.7,chess,,,,
1416,William Miller,2007,11,11,Male,11416,7.8,4.6,8.3,8.9,11A,Sports,11,,,,57.5,chess,,,,
1417,Emma Johnson,2011,2,23,Female,11417,2.5,4.5,6.6,8.1,7B,Scholar,7,,77-50-61,science,,,,,,
1418,Barbara Rodriguez,2011,7,20,Female,11418,9.1,9.4,6.3,8.1,7B,Sports,7,,,,62.4,cricket,,,,
1419,David Hernandez,2009,7,18,Male,11419,1.5,5.4,0.1,8.3,9B,Sports,9,,,,94.7,cricket,,,,
1420,Samantha Lopez,2009,11,20,Female,11420,9.2,2.2,3.6,8.2,9A,Talent,9,dance,,,,,,,,
1421,Helen Gonzalez,2010,6,15,Female,11421,6.4,7.9,8.9,7.1,8B,Talent,8,drama,,,,,,,,
1422,Samantha Martin,2010,7,26,Female,11422,6.6,1.3,4.1,8.6,8A,Scholar,8,,50-99-100,science,,,,,,
1423,James Davis,2012,11,14,Male,11423,3.9,3.8,3.0,7.6,6B,Talent,6,drama,,,,,,,,
1424,Jessica Garcia,2007,10,28,Female,11424,0.4,5.4,1.2,6.2,11B,Sports,11,,,,80.7,chess,,,,
1425,Helen Wilson,2010,3,4,Female,11425,8.5,8.0,5.7,10.0,8B,Scholar,8,,57-73-89,mathematics,,,,,,
1426,Anthony Williams,2008,7,19,Male,11426,0.2,8.9,8.7,8.9,10A,Scholar,10,,84-51-51,mathematics,,,,,,
1427,Maria Brown,2008,6,20,Female,11427,7.6,9.4,3.1,7.0,10A,Scholar,10,,89-82-52,mathematics,,,,,,
1428,Christine Garcia,2008,4,18,Female,11428,4.8,3.0,2.3,7.6,10B,Talent,10,drama,,,,,,,,
1429,Christine Gonzalez,2006,8,4,Female,11429,4.6,2.0,7.3,7.3,12A,Sports,12,,,,53.2,cricket,,,,
1430,Barbara Jackson,2012,3,21,Female,11430,6.6,1.3,4.0,8.9,6A,Sports,6,,,,72.9,cricket,,,,
1431,Patricia Miller,2012,4,17,Female,11431,5.5,8.1,7.2,6.9,6A,Talent,6,drama,,,,,,,,
1432,Michelle Williams,2011,6,8,Female,11432,6.7,5.9,4.4,6.1,7B,Scholar,7,,98-57-55,science,,,,,,
1433,Daniel Anderson,2007,5,24,Male,11433,3.1,9.5,5.8,8.9,11A,Talent,11,singing,,,,,,,,
1434,Susan Lopez,2009,12,6,Female,11434,7.9,3.6,5.9,7.3,9B,Talent,9,dance,,,,,,,,
1435,David Rodriguez,2010,11,12,Male,11435,2.8,5.8,3.8,7.4,8C,Scholar,8,,75-67-93,mathematics,,,,,,
1436,Elizabeth Anderson,2012,5,21,Female,11436,9.3,3.9,1.1,6.3,6B,Talent,6,singing,,,,,,,,
1437,Lisa Anderson,2012,7,19,Female,11437,8.5,3.7,6.7,6.9,6C,Sports,6,,,,76.1,chess,,,,
1438,Maria Williams,2012,2,9,Female,11438,7.8,1.7,8.0,9.7,6A,Talent,6,singing,,,,,,,,
1439,Jennifer Thomas,2009,10,28,Female,11439,4.9,0.3,6.6,7.7,9B,Talent,9,singing,,,,,,,,
1440,Linda Rodriguez,2008,2,27,Female,11440,9.4,1.2,5.5,6.5,10C,Scholar,10,,80-82-76,mathematics,,,,,,
1441,Jessica Smith,2009,12,19,Female,11441,8.3,2.1,6.5,8.7,9C,Talent,9,dance,,,,,,,,
1442,Maria Hernandez,2011,1,3,Female,11442,7.4,0.1,4.7,8.7,7C,Scholar,7,,89-86-78,mathematics,,,,,,
1443,Christine Hernandez,2006,10,12,Female,11443,5.9,2.4,7.8,7.4,12B,Scholar,12,,74-66-56,science,,,,,,
1444,Richard Smith,2006,10,6,Male,11444,8.1,3.1,8.9,7.4,12A,Talent,12,drama,,,,,,,,
1445,Matthew Garcia,2010,3,26,Male,11445,7.2,7.0,8.6,7.0,8A,Talent,8,dance,,,,,,,,
1446,Anna Taylor,2007,6,22,Female,11446,4.5,5.2,6.3,9.9,11A,Scholar,11,,98-61-93,mathematics,,,,,,
1447,Susan Brown,2007,3,27,Female,11447,3.5,4.0,7.8,8.3,11A,Sports,11,,,,89.3,cricket,,,,
1448,Laura Miller,2011,9,2,Female,11448,9.2,7.7,0.8,8.1,7A,Scholar,7,,100-79-66,mathematics,,,,,,
1449,David Anderson,2011,1,17,Male,11449,1.8,9.5,6.2,8.3,7C,Scholar,7,,94-100-57,science,,,,,,
1450,Paul Johnson,2008,1,26,Male,11450,7.2,3.4,0.8,6.7,10C,Scholar,10,,61-76-68,mathematics,,,,,,
1451,Paul Anderson,2011,4,16,Male,11451,5.4,5.7,9.2,7.9,7B,Scholar,7,,56-98-51,science,,,,,,
1452,Linda Martinez,2010,11,26,Female,11452,6.4,0.3,0.6,6.7,8B,Talent,8,singing,,,,,,,,
1453,Patricia Smith,2010,8,20,Female,11453,2.6,4.2,0.6,7.7,8C,Scholar,8,,97-82-56,mathematics,,,,,,
1454,Elizabeth Moore,2006,5,3,Female,11454,4.8,3.1,7.7,6.5,12B,Talent,12,dance,,,,,,,,
1455,Patricia Miller,2008,11,14,Female,11455,5.0,0.7,2.7,9.3,10B,Talent,10,drama,,,,,,,,
1456,Patricia Brown,2008,12,22,Female,11456,5.0,1.0,4.5,7.0,10A,Sports,10,,,,50.2,chess,,,,
1457,Helen Hernandez,2007,1,28,Female,11457,4.1,8.8,1.5,7.2,11B,Talent,11,dance,,,,,,,,
1458,Donald Smith,2009,3,20,Male,11458,9.1,6.8,6.5,9.1,9C,Sports,9,,,,51.4,chess,,,,
1459,George Miller,2008,10,11,Male,11459,9.4,1.8,1.4,8.3,10C,Scholar,10,,77-77-73,science,,,,,,
1460,Jennifer Thomas,2011,2,20,Female,11460,7.7,3.1,7.9,8.1,7B,Sports,7,,,,62.4,cricket,,,,
1461,Charles Miller,2012,9,23,Male,11461,7.7,2.9,0.1,9.4,6C,Sports,6,,,,74.9,chess,,,,
1462,Mary Williams,2010,8,6,Female,11462,3.0,0.3,5.9,9.1,8B,Sports,8,,,,96.4,cricket,,,,
1463,Donald Martinez,2010,12,20,Male,11463,2.1,8.1,0.6,7.2,8B,Talent,8,drama,,,,,,,,
1464,Susan Taylor,2007,12,22,Female,11464,1.5,4.4,8.2,9.4,11C,Talent,11,drama,,,,,,,,
1465,Anna Martin,2007,3,28,Female,11465,4.3,9.3,4.1,8.7,11B,Talent,11,dance,,,,,,,,
1466,Helen Miller,2008,11,9,Female,11466,7.5,2.1,4.7,8.5,10B,Sports,10,,,,83.9,chess,,,,
1467,Anna Moore,2009,9,14,Female,11467,7.5,1.5,6.4,9.5,9C,Talent,9,drama,,,,,,,,
1468,Charles Moore,2007,9,14,Male,11468,3.7,5.9,6.7,6.2,11A,Scholar,11,,61-80-62,science,,,,,,
1469,Donald Moore,2008,9,20,Male,11469,3.9,1.6,4.2,6.4,10A,Talent,10,singing,,,,,,,,
1470,Anna Garcia,2011,1,26,Female,11470,2.4,3.0,5.0,7.7,7B,Talent,7,drama,,,,,,,,
1471,Daniel Rodriguez,2011,2,1,Male,11471,1.8,7.7,1.8,8.4,7B,Talent,7,dance,,,,,,,,
1472,Michelle Anderson,2012,10,14,Female,11472,7.8,5.8,2.4,9.0,6A,Talent,6,dance,,,,,,,,
1473,Elizabeth Rodriguez,2007,5,22,Female,11473,2.4,1.7,0.9,7.0,11C,Scholar,11,,69-100-62,science,,,,,,
1474,Mary Wilson,2009,12,20,Female,11474,2.6,7.7,3.1,6.1,9B,Scholar,9,,95-90-77,mathematics,,,,,,
1475,Elizabeth Jones,2009,8,20,Female,11475,7.2,4.3,0.6,6.5,9A,Sports,9,,,,56.4,chess,,,,
1476,Steven Taylor,2008,11,27,Male,11476,4.4,8.6,8.8,8.0,10B,Scholar,10,,75-76-79,mathematics,,,,,,
1477,Elizabeth Williams,2010,4,28,Female,11477,6.0,4.6,8.0,9.5,8C,Talent,8,singing,,,,,,,,
1478,Christine Miller,2006,10,5,Female,11478,3.1,3.6,5.2,6.7,12A,Sports,12,,,,95.3,chess,,,,
1479,Lisa Brown,2006,1,13,Female,11479,6.1,1.2,2.8,9.3,12C,Sports,12,,,,92.6,cricket,,,,
1480,Matthew Garcia,2011,1,11,Male,11480,3.1,2.5,8.1,8.0,7A,Talent,7,drama,,,,,,,,
1481,Sandra Thomas,2007,3,15,Female,11481,6.4,1.5,4.9,7.6,11A,Talent,11,dance,,,,,,,,
1482,Karen Jackson,2008,12,24,Female,11482,7.9,6.2,0.9,6.4,10B,Sports,10,,,,96.2,chess,,,,
1483,Charles Martin,2012,5,3,Male,11483,1.2,2.2,6.3,9.1,6A,Sports,6,,,,63.0,chess,,,,
1484,Anna Miller,2009,12,20,Female,11484,2.0,1.5,2.6,8.6,9A,Sports,9,,,,68.0,cricket,,,,
1485,Donald Jones,2012,5,23,Male,11485,0.8,5.6,5.2,6.2,6C,Talent,6,dance,,,,,,,,
1486,Michael Smith,2010,12,25,Male,11486,3.0,7.9,5.3,6.8,8C,Sports,8,,,,85.7,chess,,,,
1487,Kenneth Martinez,2006,11,15,Male,11487,4.0,8.7,8.3,8.2,12C,Scholar,12,,82-97-67,science,,,,,,
1488,Laura Miller,2012,6,2,Female,11488,7.6,9.1,8.7,7.2,6C,Sports,6,,,,73.5,chess,,,,
1489,Christine Brown,2010,7,27,Female,11489,4.4,2.8,5.5,7.8,8A,Talent,8,dance,,,,,,,,
1490,Christine Martin,2008,1,1,Female,11490,3.2,4.4,8.5,8.7,10B,Sports,10,,,,50.4,cricket,,,,
1491,Lisa Johnson,2010,1,20,Female,11491,8.0,6.5,8.7,8.9,8B,Sports,8,,,,60.4,chess,,,,
1492,Paul Wilson,2010,12,1,Male,11492,5.9,0.6,6.1,8.7,8B,Scholar,8,,79-100-64,science,,,,,,
1493,Christine Miller,2010,12,14,Female,11493,3.9,5.3,4.0,10.0,8A,Talent,8,singing,,,,,,,,
1494,Helen Rodriguez,2006,10,28,Female,11494,3.2,9.3,2.1,6.7,12B,Scholar,12,,57-94-89,science,,,,,,
1495,Jennifer Thomas,2012,12,24,Female,11495,1.0,5.6,8.8,7.8,6B,Talent,6,drama,,,,,,,,
1496,Lisa Smith,2006,1,16,Female,11496,0.8,8.4,4.4,7.8,12A,Sports,12,,,,68.9,cricket,,,,
